sample_id,pytorch_pred,c_pred,classification_match,max_abs_err,pt_logit_0,pt_logit_1,pt_logit_2,pt_logit_3,pt_logit_4,pt_logit_5,pt_logit_6,pt_logit_7,pt_logit_8,pt_logit_9,c_logit_0,c_logit_1,c_logit_2,c_logit_3,c_logit_4,c_logit_5,c_logit_6,c_logit_7,c_logit_8,c_logit_9
0,8,8,CORRECT,5.7e-06,-6.74098969,2.20838571,-3.40629601,-3.49534154,-1.80935979,-3.97807932,-5.2936964,-12.2917042,3.51231956,-1.3056922,-6.74099207,2.20839,-3.40629053,-3.49534154,-1.80935955,-3.97807908,-5.29369879,-12.2917099,3.5123148,-1.30568695
1,1,1,CORRECT,4.112e-06,-8.37842751,2.43007469,-1.11176956,0.727287471,-0.963511825,-7.4498682,-7.36975193,-6.88759947,1.23483443,-6.72437668,-8.3784256,2.43007302,-1.1117661,0.727283359,-0.963511348,-7.44986582,-7.36975098,-6.88759851,1.23483098,-6.72438002
2,1,1,CORRECT,6.735e-06,-7.7891202,5.45398331,1.59306252,1.66349971,-2.98625708,-7.68654394,-8.2306242,-12.9728146,0.791733265,-7.5187664,-7.78911829,5.45398569,1.59306526,1.66350412,-2.9862535,-7.68654728,-8.23062897,-12.9728098,0.79172653,-7.51876974
3,3,3,CORRECT,6.67e-06,-7.54811096,2.83836031,0.208017752,4.55988789,-0.537237167,-6.05441666,-8.02810764,-11.400322,-1.22338378,-5.39898205,-7.54811049,2.83835959,0.208018765,4.55989456,-0.537235379,-6.05441904,-8.0281105,-11.4003191,-1.22338641,-5.39898252
4,3,3,CORRECT,4.3e-06,-4.4958849,-0.436907291,-3.61671758,4.94790697,-1.19536889,-7.97792816,-6.86752415,-6.64886856,1.38367784,-11.04037,-4.4958806,-0.436909646,-3.61672068,4.94790697,-1.19536686,-7.97792864,-6.86752462,-6.64887047,1.3836751,-11.0403719
5,8,8,CORRECT,1.24e-05,-6.54418612,-2.36940002,-6.45405626,-7.33219337,-1.45814908,-2.10163856,-5.11715841,-6.20242739,5.42865324,-6.5161972,-6.54417372,-2.36939955,-6.45405483,-7.3321867,-1.45814931,-2.10163474,-5.11715698,-6.20242357,5.42864275,-6.51619434
6,8,8,CORRECT,2.98e-06,-6.03720951,0.862989843,-0.978981316,1.42050672,-2.38996339,-3.52941561,-5.06092787,-8.15568733,1.75085413,-4.66671658,-6.03721046,0.862988532,-0.978980541,1.4205097,-2.38996458,-3.52941632,-5.0609293,-8.15568542,1.75085354,-4.66671801
7,3,3,CORRECT,3.82e-06,-4.81082153,2.88172579,-0.332854331,3.38333464,-2.27228093,-5.97694874,-7.71918964,-10.4674883,0.296864003,-6.13766909,-4.81082058,2.8817265,-0.332853407,3.38333082,-2.27227974,-5.97694969,-7.7191906,-10.4674892,0.296861857,-6.13766956
8,3,3,CORRECT,7.15e-06,-1.88964915,-0.672100127,-2.36861706,2.95516849,-0.901802182,-4.80749655,-4.18570185,-2.5950079,-1.31117737,-8.39995956,-1.889642,-0.672098637,-2.3686173,2.95516396,-0.901802361,-4.80749512,-4.18569946,-2.59501505,-1.31117785,-8.39995575
9,1,1,CORRECT,1.431e-05,-6.82763577,2.39115715,-2.0826416,-1.23523879,0.869006157,-6.2816925,-6.85207748,-9.7735548,0.304754883,-5.66308451,-6.82763338,2.39115882,-2.08264184,-1.2352376,0.869007766,-6.28169346,-6.85208035,-9.77356911,0.304753125,-5.6630826
