sample_id,target,class_name,source_dataset_index
0,0,Polaris,1484
1,0,Polaris,809
2,0,Polaris,757
3,2,Truck,991
4,0,Polaris,1446
5,2,Truck,54
6,1,Warhog,183
7,0,Polaris,445
8,1,Warhog,364
9,0,Polaris,1428
10,2,Truck,301
11,2,Truck,483
12,2,Truck,1144
13,2,Truck,689
14,0,Polaris,393
15,1,Warhog,1459
16,2,Truck,110
17,1,Warhog,1046
18,2,Truck,590
19,2,Truck,1099
20,0,Polaris,1192
21,0,Polaris,235
22,0,Polaris,159
23,0,Polaris,896
24,1,Warhog,1414
25,2,Truck,575
26,0,Polaris,1363
27,0,Polaris,458
28,1,Warhog,570
29,1,Warhog,1441
30,0,Polaris,653
31,1,Warhog,1007
32,2,Truck,128
33,1,Warhog,852
34,1,Warhog,1127
35,2,Truck,5
36,2,Truck,229
37,1,Warhog,1233
38,2,Truck,91
39,1,Warhog,1079
40,2,Truck,736
41,1,Warhog,1247
42,1,Warhog,119
43,1,Warhog,24
44,0,Polaris,1097
45,2,Truck,610
46,0,Polaris,1163
47,1,Warhog,1243
48,1,Warhog,1470
49,0,Polaris,827
