timestamp,sample_id,source,pred,target,correct,inf_ms,raw
1775171421.2468526,0,arduino,2,0,0,8.178,sample_0 src=arduino pred=2 target=0 inf_ms=8.178 logits=
1775171421.2768526,0,rpi,0,0,1,38.563,sample_0 src=rpi pred=0 target=0 inf_ms=38.563 logits=
1775171421.3068526,1,arduino,1,0,0,8.091,sample_1 src=arduino pred=1 target=0 inf_ms=8.091 logits=
1775171421.3368526,1,rpi,0,0,1,34.162,sample_1 src=rpi pred=0 target=0 inf_ms=34.162 logits=
1775171421.3668525,2,arduino,0,0,1,17.254,sample_2 src=arduino pred=0 target=0 inf_ms=17.254 logits=
1775171421.3968525,2,rpi,0,0,1,23.652,sample_2 src=rpi pred=0 target=0 inf_ms=23.652 logits=
1775171421.4268525,3,arduino,2,2,1,8.931,sample_3 src=arduino pred=2 target=2 inf_ms=8.931 logits=
1775171421.4568524,3,rpi,2,2,1,19.577,sample_3 src=rpi pred=2 target=2 inf_ms=19.577 logits=
1775171421.4868524,4,arduino,0,0,1,13.328,sample_4 src=arduino pred=0 target=0 inf_ms=13.328 logits=
1775171421.5168524,4,rpi,0,0,1,39.123,sample_4 src=rpi pred=0 target=0 inf_ms=39.123 logits=
1775171421.5468524,5,arduino,2,2,1,13.057,sample_5 src=arduino pred=2 target=2 inf_ms=13.057 logits=
1775171421.5768523,5,rpi,2,2,1,30.037,sample_5 src=rpi pred=2 target=2 inf_ms=30.037 logits=
1775171421.6068523,6,arduino,1,1,1,10.505,sample_6 src=arduino pred=1 target=1 inf_ms=10.505 logits=
1775171421.6368523,6,rpi,1,1,1,28.911,sample_6 src=rpi pred=1 target=1 inf_ms=28.911 logits=
1775171421.6668522,7,arduino,0,0,1,11.618,sample_7 src=arduino pred=0 target=0 inf_ms=11.618 logits=
1775171421.6968522,7,rpi,0,0,1,21.229,sample_7 src=rpi pred=0 target=0 inf_ms=21.229 logits=
1775171421.7268522,8,arduino,2,1,0,15.650,sample_8 src=arduino pred=2 target=1 inf_ms=15.650 logits=
1775171421.7568521,8,rpi,1,1,1,38.537,sample_8 src=rpi pred=1 target=1 inf_ms=38.537 logits=
1775171421.7868521,9,arduino,0,0,1,16.230,sample_9 src=arduino pred=0 target=0 inf_ms=16.230 logits=
1775171421.816852,9,rpi,0,0,1,31.434,sample_9 src=rpi pred=0 target=0 inf_ms=31.434 logits=
1775171421.846852,10,arduino,2,2,1,13.456,sample_10 src=arduino pred=2 target=2 inf_ms=13.456 logits=
1775171421.876852,10,rpi,2,2,1,16.883,sample_10 src=rpi pred=2 target=2 inf_ms=16.883 logits=
1775171421.906852,11,arduino,2,2,1,11.501,sample_11 src=arduino pred=2 target=2 inf_ms=11.501 logits=
1775171421.936852,11,rpi,2,2,1,17.772,sample_11 src=rpi pred=2 target=2 inf_ms=17.772 logits=
1775171421.966852,12,arduino,2,2,1,12.904,sample_12 src=arduino pred=2 target=2 inf_ms=12.904 logits=
1775171421.996852,12,rpi,2,2,1,25.406,sample_12 src=rpi pred=2 target=2 inf_ms=25.406 logits=
1775171422.026852,13,arduino,2,2,1,10.532,sample_13 src=arduino pred=2 target=2 inf_ms=10.532 logits=
1775171422.0568519,13,rpi,2,2,1,22.507,sample_13 src=rpi pred=2 target=2 inf_ms=22.507 logits=
1775171422.0868518,14,arduino,2,0,0,12.020,sample_14 src=arduino pred=2 target=0 inf_ms=12.020 logits=
1775171422.1168518,14,rpi,0,0,1,23.740,sample_14 src=rpi pred=0 target=0 inf_ms=23.740 logits=
1775171422.1468518,15,arduino,1,1,1,13.187,sample_15 src=arduino pred=1 target=1 inf_ms=13.187 logits=
1775171422.1768517,15,rpi,1,1,1,34.572,sample_15 src=rpi pred=1 target=1 inf_ms=34.572 logits=
1775171422.2068517,16,arduino,2,2,1,18.460,sample_16 src=arduino pred=2 target=2 inf_ms=18.460 logits=
1775171422.2368517,16,rpi,2,2,1,25.990,sample_16 src=rpi pred=2 target=2 inf_ms=25.990 logits=
1775171422.2668517,17,arduino,1,1,1,10.844,sample_17 src=arduino pred=1 target=1 inf_ms=10.844 logits=
1775171422.2968516,17,rpi,1,1,1,18.097,sample_17 src=rpi pred=1 target=1 inf_ms=18.097 logits=
1775171422.3268516,18,arduino,2,2,1,8.553,sample_18 src=arduino pred=2 target=2 inf_ms=8.553 logits=
1775171422.3568516,18,rpi,2,2,1,28.245,sample_18 src=rpi pred=2 target=2 inf_ms=28.245 logits=
1775171422.3868515,19,arduino,1,2,0,17.618,sample_19 src=arduino pred=1 target=2 inf_ms=17.618 logits=
1775171422.4168515,19,rpi,2,2,1,21.387,sample_19 src=rpi pred=2 target=2 inf_ms=21.387 logits=
1775171422.4468515,20,arduino,0,0,1,16.102,sample_20 src=arduino pred=0 target=0 inf_ms=16.102 logits=
1775171422.4768515,20,rpi,0,0,1,39.085,sample_20 src=rpi pred=0 target=0 inf_ms=39.085 logits=
1775171422.5068514,21,arduino,0,0,1,18.023,sample_21 src=arduino pred=0 target=0 inf_ms=18.023 logits=
1775171422.5368514,21,rpi,1,0,0,39.594,sample_21 src=rpi pred=1 target=0 inf_ms=39.594 logits=
1775171422.5668514,22,arduino,0,0,1,16.369,sample_22 src=arduino pred=0 target=0 inf_ms=16.369 logits=
1775171422.5968513,22,rpi,0,0,1,16.962,sample_22 src=rpi pred=0 target=0 inf_ms=16.962 logits=
1775171422.6268513,23,arduino,0,0,1,17.444,sample_23 src=arduino pred=0 target=0 inf_ms=17.444 logits=
