sample_id,pytorch_pred,c_pred,classification_match,max_abs_err,pt_logit_0,pt_logit_1,pt_logit_2,pt_logit_3,pt_logit_4,pt_logit_5,pt_logit_6,pt_logit_7,pt_logit_8,pt_logit_9,c_logit_0,c_logit_1,c_logit_2,c_logit_3,c_logit_4,c_logit_5,c_logit_6,c_logit_7,c_logit_8,c_logit_9
0,4,4,CORRECT,3.05e-05,-13.1318445,-4.05506563,-4.19388866,-11.1923027,1.00421989,-0.367074281,-6.44787693,-12.0743189,-5.78955269,-3.77313161,-13.1318684,-4.05506277,-4.19388866,-11.1922836,1.00421894,-0.367080718,-6.44788408,-12.0742884,-5.78954697,-3.77312899
1,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
2,2,2,CORRECT,1.335e-05,-1.27198982,-1.64584267,-0.0123746619,-4.65787172,-2.3204422,-4.63897514,-0.990996718,-7.3617878,-2.053689,-1.9214952,-1.27199411,-1.64584088,-0.0123771131,-4.65785837,-2.32043791,-4.63898563,-0.990997851,-7.36179256,-2.05368567,-1.92150044
3,7,7,CORRECT,1.311e-05,-1.91189909,-1.90343988,-1.30317223,-2.53229499,-2.04007673,-1.46805525,-2.00539827,-0.45806694,-1.3563199,-1.59930646,-1.91190028,-1.90343642,-1.30316615,-2.53228188,-2.04007316,-1.46806037,-2.00539303,-0.458070666,-1.35631621,-1.59931076
4,6,6,CORRECT,1.716e-05,-7.18227196,-0.539339602,0.126592964,-9.26680183,-1.81377304,-3.78386045,5.18008041,-5.99745035,-1.17739904,-5.54090929,-7.18227673,-0.539337814,0.126591563,-9.26678467,-1.81377137,-3.78386497,5.1800704,-5.99743605,-1.17740083,-5.54090691
5,5,5,CORRECT,1.81e-05,-12.4353533,-6.83600426,-7.92922354,-8.33845615,0.522215962,1.03293395,-6.30087423,-5.64164543,-3.63641858,-0.943111897,-12.4353714,-6.83600235,-7.92922258,-8.33845043,0.52221334,1.03292704,-6.30088425,-5.64163971,-3.63642001,-0.943109334
6,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
7,4,4,CORRECT,1.228e-05,-3.4573195,-2.92312193,-1.74948657,-1.83811057,0.562537253,-0.912772059,-1.70224559,-2.10152006,-2.85018539,-1.21551013,-3.45731854,-2.92311859,-1.74948227,-1.83809829,0.562538028,-0.912775278,-1.70224154,-2.10152125,-2.85018229,-1.21551371
8,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
9,9,9,CORRECT,1.144e-05,-6.58353043,0.0280599631,0.379539341,-4.986835,-0.912692189,-3.93038845,-4.44745636,-7.75601959,-4.62802696,0.572997034,-6.583529,0.028061498,0.379537433,-4.98682356,-0.912688315,-3.93039656,-4.44745016,-7.75601482,-4.628016,0.572993338
10,8,8,CORRECT,7.39e-06,-1.76390409,-2.38908529,-1.53780639,-3.436059,-2.29420614,-2.48717523,-2.97832966,-2.21240139,-1.10124981,-1.94758308,-1.76390672,-2.38908291,-1.53780293,-3.43605256,-2.29420638,-2.4871819,-2.97832751,-2.21240878,-1.10124421,-1.94758868
